canonical_item_name,division,group,category,modifier_flag,beverage_flag
NO SPREAD,Free Chimney Cake Spreads,Free Chimney Cake Spreads,modifier,True,False
NO SPREAD .,free mini spread,FREE MINI SPREAD,modifier,True,False
"NO SPREAD,,",EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,modifier,True,False
"NO SPREAD,.",EXTRA MINI SPREAD,EXTRA MINI SPREAD,modifier,True,False
NO SPREAD.,Free Conut Spreads,Free Conut Spreads,modifier,True,False
NO SPREAD..,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,modifier,True,False
NO TOPPINGS,FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"NO TOPPINGS ,",FREE MINI TOP,FREE MINI TOP,modifier,True,False
NO TOPPINGS.,FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
NO WHIPPED CREAM,Hot-Coffee Based,Free Whipped Cream,coffee_hot,True,True
NUTELLA DIP (R),EXTRA DIP,EXTRA DIP,core_food,False,False
NUTELLA DIP.(R),free dip,free dip,modifier,True,False
NUTELLA SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"NUTELLA SAUCE ,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
NUTELLA SAUCE . (R),FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
"NUTELLA SAUCE,(R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
NUTELLA SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
NUTELLA SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,False,False
NUTELLA SPREAD CHIMNEY.,Free Chimney Cake Spreads,Free Chimney Cake Spreads,modifier,True,False
NUTELLA SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,False,False
NUTELLA SPREAD CONUT.,Free Conut Spreads,Free Conut Spreads,modifier,True,False
NUTELLA SPREAD MINI,EXTRA MINI SPREAD,EXTRA MINI SPREAD,core_food,False,False
NUTELLA SPREAD MINI.,free mini spread,FREE MINI SPREAD,modifier,True,False
OREO MILKSHAKE,Shakes,Shakes,milkshake,False,True
PASSION FRUIT DIP (P),EXTRA DIP,EXTRA DIP,core_food,False,False
PASSION FRUIT SAUCE (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"PASSION FRUIT SAUCE,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
PASSION FRUITS DIP.(P),free dip,free dip,core_food,False,False
"PASSION FRUITS SAUCE ,(P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
PASSION FRUITS SAUCE .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
PEACH ICED TEA,Hot and Cold Drinks,TEA FLAVORS,other_beverage,False,True
"PEANUT BUTTER CUP , (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
PEANUT BUTTER CUP .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
PEANUT BUTTER CUPS (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"PEANUT BUTTER CUPS,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
PEANUT BUTTER CUPS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
PEANUT BUTTER MILKSHAKE,Shakes,Shakes,milkshake,False,True
PEPPERMINT TEA,Hot and Cold Drinks,TEA FLAVORS,other_beverage,False,True
PISTACHIO CHIMNEY,ITEMS,ITEMS,modifier,True,False
PISTACHIO CONUT,ITEMS,ITEMS,modifier,True,False
PISTACHIO DIP (P),EXTRA DIP,EXTRA DIP,core_food,False,False
PISTACHIO DIP.(P),free dip,free dip,core_food,False,False
PISTACHIO LATTE,CONUT''S FAVORITE,CONUT''S FAVORITE,core_food,False,False
PISTACHIO MILKSHAKE,Shakes,Shakes,milkshake,False,True
PISTACHIO MINI,ITEMS,ITEMS,modifier,True,False
PISTACHIO SAUCE (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"PISTACHIO SAUCE ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
PISTACHIO SAUCE . (P),FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
"PISTACHIO SAUCE,(P)",FREE MINI TOP,FREE MINI TOP,core_food,False,False
PISTACHIO SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
PISTACHIO SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,False,False
PISTACHIO SPREAD CHIMNEY.,Free Chimney Cake Spreads,Free Chimney Cake Spreads,core_food,False,False
PISTACHIO SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,False,False
PISTACHIO SPREAD CONUT.,Free Conut Spreads,Free Conut Spreads,core_food,False,False
PISTACHIO SPREAD MINI,EXTRA MINI SPREAD,EXTRA MINI SPREAD,core_food,False,False
PISTACHIO SPREAD MINI.,free mini spread,FREE MINI SPREAD,core_food,False,False
PISTACHIO TOPPING,FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
"PISTACHIO TOPPING,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
PISTACHIO TOPPING.,FREE MINI TOP,FREE MINI TOP,modifier,True,False
PRESSED,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,coffee_hot,True,True
RASPBERRIES (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"RASPBERRIES ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
RASPBERRIES .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
"RASPBERRIES, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
RASPBERRIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
RASPBERRY ICED TEA,Hot and Cold Drinks,TEA FLAVORS,other_beverage,False,True
RASPBERRY JAM (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"RASPBERRY JAM , (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
RASPBERRY JAM .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
RASPBERRY JAM DIP (P),EXTRA DIP,EXTRA DIP,core_food,False,False
"RASPBERRY JAM,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
RASPBERRY JAM.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
REGULAR,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,coffee_hot,True,True
REGULAR.,coffee type,coffee type,modifier,True,False
SALTED CARAMEL DIP (R),EXTRA DIP,EXTRA DIP,core_food,False,False
SALTED CARAMEL DIP.(R),free dip,free dip,modifier,True,False
SALTED CARAMEL FRAPPE,Frappes,Frappes,coffee_cold,False,True
SALTED CARAMEL MILKSHAKE,Shakes,Shakes,milkshake,False,True
SALTED CARAMEL SAUCE  .(R),FREE MINI TOP,FREE MINI TOP,modifier,True,False
SALTED CARAMEL SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
SALTED CARAMEL SAUCE . (R),FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
"SALTED CARAMEL SAUCE,(R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
SALTED CARAMEL SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
SALTED CARAMEL SYRUP,Bev Add-ons,Bev Add-ons,core_food,False,False
SALTED PRETZELS (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"SALTED PRETZELS , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
"SALTED PRETZELS,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
SALTED PRETZELS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
SEND CUTLERY,Delivery Service,Delivery,modifier,True,False
SINGLE ESPRESSO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
SKIMMED MILK.,MILK OPTIONS,MILK OPTIONS,modifier,True,False
SPRINKLES (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"SPRINKLES , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
SPRINKLES .(R),FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"SPRINKLES,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
SPRINKLES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
STRAWBERRIES (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"STRAWBERRY , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
STRAWBERRY .(R),FREE MINI TOP,FREE MINI TOP,modifier,True,False
STRAWBERRY DRESSING,Bev Add-ons,Bev Add-ons,core_food,False,False
STRAWBERRY MILKSHAKE,Shakes,Shakes,milkshake,False,True
"STRAWBERRY,(R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
STRAWBERRY.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
SWEETENED CREAM,Bev Add-ons,Bev Add-ons,core_food,False,False
SWITCH TO ICE CREAM,FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
"SWITCH TO ICE CREAM,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
TAKE AWAY,Delivery Service,Delivery,modifier,True,False
THE ONE CHIMNEY,ITEMS,ITEMS,modifier,True,False
THE ONE CONUT,ITEMS,ITEMS,modifier,True,False
THE ONE MINI,ITEMS,ITEMS,modifier,True,False
THE SHARING BOX.,ITEMS,ITEMS,core_food,False,False
TIRAMISU CHIMNEY,ITEMS,ITEMS,core_food,False,False
TIRAMISU CONUT,ITEMS,ITEMS,core_food,False,False
TIRAMISU MINI CONUT,ITEMS,ITEMS,core_food,False,False
TOASTED MARSHMALLOWS,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,core_food,False,False
TOFFEE NUT FRAPPE,Frappes,Frappes,coffee_cold,False,True
TOFFEE NUT MILKSHAKE,Shakes,Shakes,milkshake,False,True
TRIPLE CHOCOLATE CHIMNEY,ITEMS,ITEMS,modifier,True,False
TRIPLE CHOCOLATE CONUT,ITEMS,ITEMS,modifier,True,False
TRIPLE CHOCOLATE MINI,ITEMS,ITEMS,modifier,True,False
VANILLA FRAPPE,Frappes,Frappes,coffee_cold,False,True
VANILLA MILKSHAKE,Shakes,Shakes,milkshake,False,True
VANILLA SYRUP,Bev Add-ons,Bev Add-ons,core_food,False,False
VIA SPARKLING WATER,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,False,True
WATER,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,False,True
WHIPPED  CREAM (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
WHIPPED  CREAM.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
WHIPPED CREAM,Bev Add-ons,Bev Add-ons,core_food,False,False
"WHIPPED CREAM   ,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"WHIPPED CREAM  ,",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
WHIPPED CREAM  .,FREE MINI TOP,FREE MINI TOP,modifier,True,False
"WHIPPED CREAM ,(P)",FREE MINI TOP,FREE MINI TOP,core_food,False,False
WHIPPED CREAM . (P),FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
"WHIPPED CREAM,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
WHIPPED CREAM...,Hot-Coffee Based,Free Whipped Cream,coffee_hot,True,True
WHITE CHOCOLATE DIP (R),EXTRA DIP,EXTRA DIP,core_food,False,False
WHITE CHOCOLATE DIP.(R),free dip,free dip,modifier,True,False
WHITE CHOCOLATE FLAVOUR,Bev Add-ons,Bev Add-ons,core_food,False,False
WHITE CHOCOLATE SAUCE,Bev Add-ons,Bev Add-ons,core_food,False,False
"WHITE CHOCOLATE SAUCE  ,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
"WHITE CHOCOLATE SAUCE , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
WHITE CHOCOLATE SAUCE .(R),FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"WHITE CHOCOLATE SAUCE, (R)",MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
WHITE CHOCOLATE SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,False,False
WHITE CHOCOLATE SPREAD CHIMNEY.,Free Chimney Cake Spreads,Free Chimney Cake Spreads,modifier,True,False
WHITE CHOCOLATE SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,False,False
WHITE CHOCOLATE SPREAD CONUT.,Free Conut Spreads,Free Conut Spreads,modifier,True,False
WHITE CHOCOLATE SPREAD MINI.,free mini spread,FREE MINI SPREAD,modifier,True,False
WHITE MOCHA,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
WHITE MOCHA FRAPPE,Frappes,Frappes,coffee_cold,False,True
WILD BERRIES,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,False,True
WILD BERRIES PASSION,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,False,True
[CARAMEL DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[CHOCOLATE DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[NO DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[NO SPREAD],Free Conut Spreads,Free Conut Spreads,modifier,True,False
[SALTED CARAMEL DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[STRAWBERRY DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
switch to ice cream.,FREE MINI TOP,FREE MINI TOP,core_food,False,False
