basket_id,branch,customer,items_list,unique_items,net_qty,net_total
1,Conut - Tyre,Person_0129,['PISTACHIO MILKSHAKE'],1,1.0,893918.92
2,Conut - Tyre,Person_0130,"['CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'LOTUS SAUCE.', 'STRAWBERRY.']",5,5.0,2443378.37
3,Conut - Tyre,Person_0131,"['CLASSIC CHIMNEY', 'CONUT THE ONE', 'DELIVERY CHARGE', 'MOCHA FRAPPE', 'MOCHA FRAPPE', 'STRAWBERRY.']",5,6.0,2979729.71
4,Conut - Tyre,Person_0132,"['CONUT PISTACHIO', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",3,3.0,2175864.87
5,Conut - Tyre,Person_0133,"['CHIMNEY BERRY MIX', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",5,7.0,6495810.8
6,Conut - Tyre,Person_0134,"['DELIVERY CHARGE', 'MINI BERRY MIX', 'MINI PISTACHIO']",3,3.0,1372000.01
7,Conut - Tyre,Person_0135,"['CHIMNEY THE ONE', 'DELIVERY CHARGE', 'NUTELLA SAUCE.']",3,3.0,1668648.64
8,Conut - Tyre,Person_0136,['WATER'],1,1.0,79459.45
9,Conut - Tyre,Person_0137,['ICE CREAM BOWL'],1,1.0,595945.95
9,Conut Jnah,Person_0137,"['CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'THE SHARING BOX.', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'ADD ICE CREAM', 'CHIMNEY BERRY MIX', 'CHIMNEY BOSTON CHEESECAKE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CONUT BITES', 'CONUT BITES', 'DELIVERY CHARGE', 'CHIMNEY BERRY MIX', 'CONUT THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'STRAWBERRY.', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'NUTELLA SAUCE.', 'STRAWBERRY.', 'THE SHARING BOX.', 'CONUT BERRY MIX', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ORIGINAL', 'CONUT BERRY MIX', 'CONUT THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY THE ONE', 'CHIMNEY THE ORIGINAL', 'DELIVERY CHARGE', 'CHIMNEY BERRY MIX', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CONUT COMBO', 'CONUT THE ONE', 'CONUT THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'CAFFE LATTE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'MINI THE ONE']",18,77.0,59745567.519999996
10,Conut Jnah,Person_0138,"['CHIMNEY PISTACHIO', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CONUT TRIPLE CHOCOLATE', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'WATER', 'WATER']",5,9.0,6744783.75
11,Conut Jnah,Person_0139,"['CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'TOFFEE NUT MILKSHAKE']",3,4.0,4648378.37
12,Conut Jnah,Person_0140,"['CHOCOLATE SAUCE', 'CLASSIC CHIMNEY', 'HOT MILK', 'HOT MILK', 'VANILLA SYRUP']",4,5.0,1133621.61
13,Conut Jnah,Person_0141,"['CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'CLASSIC CHIMNEY', 'FRUIT LOOPS MILKSHAKE', 'MINI THE ONE', 'PISTACHIO SAUCE ,(P)', 'WATER']",8,11.0,9685594.57
14,Conut Jnah,Person_0142,"['BLUEBERRIES.', 'BLUEBERRIES.', 'BLUEBERRIES.', 'BROWNIES.', 'CAFFE LATTE', 'CARAMEL MACHIATO', 'CHIMNEY BERRY MIX', 'CHIMNEY PISTACHIO', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DOUBLE CHOCOLATE MILKSHAKE', 'NUTELLA SAUCE.', 'NUTELLA SPREAD CHIMNEY', 'WATER']",12,18.0,12594324.26
15,Conut Jnah,Person_0143,['AFFOGATO'],1,1.0,536351.34
16,Conut Jnah,Person_0144,"['CAFFE LATTE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'WATER', 'WATER']",3,6.0,4330540.5
17,Conut Jnah,Person_0145,"['DELIVERY CHARGE', 'MINI BERRY MIX', 'MINI THE ONE', 'PISTACHIO SPREAD MINI.']",4,4.0,1283270.28
19,Conut Jnah,Person_0147,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'SINGLE ESPRESSO', 'TIRAMISU CHIMNEY', 'TIRAMISU CHIMNEY', 'WATER']",4,6.0,5442972.95
20,Conut Jnah,Person_0148,"['ADD ICE CREAM', 'CAFE MOCHA', 'CAFFE LATTE', 'CHIMNEY THE ONE', 'CONUT TRIPLE CHOCOLATE', 'CONUT TRIPLE CHOCOLATE', 'DOUBLE ESPRESSO', 'DOUBLE ESPRESSO', 'DOUBLE ESPRESSO', 'DOUBLE ESPRESSO', 'ICED SHAKEN ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO']",8,13.0,6799081.07
21,Conut Jnah,Person_0149,"['CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'PISTACHIO SPREAD CHIMNEY.', 'STRAWBERRY.', 'STRAWBERRY.', 'STRAWBERRY.', 'STRAWBERRY.']",4,8.0,2204999.9899999998
22,Conut Jnah,Person_0150,"['ADD ICE CREAM', 'CONUT THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",4,4.0,2533432.43
23,Conut Jnah,Person_0151,"['CLASSIC CHIMNEY', 'CONUT THE ONE', 'DELIVERY CHARGE']",3,3.0,1728243.25
24,Conut Jnah,Person_0152,"['BLUEBERRIES , (P)', 'BLUEBERRIES, (P)', 'CHIMNEY THE ORIGINAL', 'CONUT BOSTON CHEESECAKE', 'CONUT THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'RASPBERRIES (P)', 'RASPBERRIES.', 'STRAWBERRIES (R)']",10,10.0,4681828.83
25,Conut Jnah,Person_0153,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,3.0,2741351.34
26,Conut Jnah,Person_0154,"['DELIVERY CHARGE', 'MINI BOSTON CHEESECAKE', 'MINI THE ONE', 'TIRAMISU MINI CONUT']",4,4.0,1877891.89
27,Conut Jnah,Person_0155,"['CONUT THE ONE', 'DELIVERY CHARGE']",2,2.0,1132297.3
28,Conut Jnah,Person_0156,"['CONUT BERRY MIX', 'DELIVERY CHARGE']",2,2.0,1132297.3
29,Conut Jnah,Person_0157,"['BLUEBERRIES.', 'CHIMNEY THE ONE', 'CRUSHED LOTUS.', 'DELIVERY CHARGE', 'LOTUS SAUCE.', 'PISTACHIO SPREAD CHIMNEY']",6,6.0,2324189.1799999997
30,Conut Jnah,Person_0158,"['ADD ICE CREAM', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",3,3.0,1311081.08
31,Conut Jnah,Person_0159,"['ADD ICE CREAM', 'ADD ICE CREAM', 'ADD ICE CREAM', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",3,7.0,3456486.48
32,Conut Jnah,Person_0160,"['DELIVERY CHARGE', 'THE SHARING BOX.']",2,2.0,1907027.04
33,Conut Jnah,Person_0161,"['CHIMNEY THE ORIGINAL', 'CHIMNEY THE ORIGINAL', 'CHIMNEY THE ORIGINAL', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'RASPBERRIES ,(P)', 'RASPBERRIES ,(P)']",3,7.0,4133513.51
34,Conut Jnah,Person_0162,"['CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",2,6.0,3218108.13
35,Conut Jnah,Person_0163,"['CHIMNEY THE ORIGINAL', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'STRAWBERRY.']",4,4.0,2205000.0
36,Conut Jnah,Person_0164,"['CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,2.0,1489864.8599999999
37,Conut Jnah,Person_0165,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,3.0,2741351.34
38,Conut Jnah,Person_0166,"['DELIVERY CHARGE', 'THE SHARING BOX.']",2,2.0,1907027.04
39,Conut Jnah,Person_0167,"['CHIMNEY PISTACHIO', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'PISTACHIO SAUCE.', 'PISTACHIO SAUCE.', 'STRAWBERRY.']",5,7.0,3158513.52
40,Conut Jnah,Person_0168,"['CHIMNEY THE ORIGINAL', 'CHIMNEY THE ORIGINAL', 'DELIVERY CHARGE']",2,3.0,2622162.1599999997
41,Conut Jnah,Person_0169,"['ADD ICE CREAM', 'ADD ICE CREAM', 'ADD ICE CREAM', 'ADD ICE CREAM', 'BLUEBERRIES , (P)', 'BLUEBERRIES , (P)', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",5,11.0,7351621.58
42,Conut Jnah,Person_0170,"['DELIVERY CHARGE', 'MINI BERRY MIX']",2,2.0,745594.6
43,Conut Jnah,Person_0171,"['ADD ICE CREAM', 'ADD ICE CREAM', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'STRAWBERRY.']",5,6.0,3933243.22
44,Conut Jnah,Person_0172,"['CHIMNEY BERRY MIX', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",3,3.0,2085810.81
45,Conut Jnah,Person_0173,"['CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",3,4.0,2681756.76
46,Conut Jnah,Person_0174,"['CHIMNEY BERRY MIX', 'CHIMNEY THE ORIGINAL', 'CHIMNEY THE ORIGINAL', 'DELIVERY CHARGE']",3,4.0,3873648.6399999997
47,Conut Jnah,Person_0175,"['CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",2,2.0,1549459.46
48,Conut Jnah,Person_0176,"['CONUT THE ONE', 'DELIVERY CHARGE']",2,2.0,1132297.3
49,Conut Jnah,Person_0177,"['CINNAMON SUGAR RINGS', 'CONUT BOSTON CHEESECAKE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",4,4.0,2504297.3
50,Conut Jnah,Person_0178,"['BROWNIES.', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'STRAWBERRY.', 'WHITE CHOCOLATE SPREAD CHIMNEY']",5,5.0,1370675.67
51,Conut Jnah,Person_0179,"['CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",2,2.0,1549459.46
52,Conut Jnah,Person_0180,"['CINNAMON SUGAR RINGS', 'CINNAMON SUGAR RINGS', 'CINNAMON SUGAR RINGS', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",3,6.0,2681756.76
53,Conut Jnah,Person_0181,"['CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,2.0,1489864.8599999999
54,Conut Jnah,Person_0182,"['CHIMNEY BERRY MIX', 'CHIMNEY BERRY MIX', 'CONUT COMBO', 'CONUT COMBO', 'CONUT PISTACHIO', 'CONUT PISTACHIO', 'CONUT PISTACHIO', 'CONUT PISTACHIO', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'DELIVERY CHARGE']",4,11.0,12753243.219999999
55,Conut Jnah,Person_0183,"['CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'CRUSHED LOTUS.', 'DELIVERY CHARGE']",4,4.0,2264594.59
56,Conut Jnah,Person_0184,"['CHIMNEY PISTACHIO', 'CONUT THE ONE', 'DELIVERY CHARGE']",3,3.0,2562567.5700000003
57,Conut Jnah,Person_0185,"['CHIMNEY THE ORIGINAL', 'CONUT THE ONE', 'DELIVERY CHARGE']",3,3.0,2324189.19
58,Conut Jnah,Person_0186,"['CHIMNEY THE ONE', 'CONUT BOSTON CHEESECAKE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",4,4.0,3338621.62
59,Conut Jnah,Person_0187,"['CHIMNEY THE ORIGINAL', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'LOTUS SPREAD CHIMNEY', 'STRAWBERRY.']",5,5.0,2383783.78
60,Conut Jnah,Person_0188,"['CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,2.0,1489864.8599999999
61,Conut Jnah,Person_0189,"['CONUT THE ONE', 'CONUT THE ONE', 'CONUT THE ONE', 'DELIVERY CHARGE', 'DELIVERY CHARGE']",2,5.0,3158513.52
62,Conut Jnah,Person_0190,"['CONUT THE ONE', 'DELIVERY CHARGE']",2,2.0,1132297.3
63,Conut Jnah,Person_0191,"['ADD ICE CREAM', 'ADD ICE CREAM', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ORIGINAL', 'CHIMNEY THE ORIGINAL', 'CONUT THE ONE', 'CONUT THE ONE', 'CONUT THE ONE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'STRAWBERRIES (R)', 'STRAWBERRY.']",7,14.0,10519108.07
64,Conut Jnah,Person_0192,"['CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'STRAWBERRY.', 'THE SHARING BOX.']",4,4.0,2681756.77
65,Conut Jnah,Person_0193,"['BLUEBERRIES , (P)', 'BLUEBERRIES , (P)', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",4,5.0,2166891.89
66,Conut Jnah,Person_0194,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'LOTUS SAUCE.', 'PISTACHIO SAUCE ,(P)', 'PISTACHIO SAUCE ,(P)']",4,9.0,4729459.44
67,Conut Jnah,Person_0195,"['CHIMNEY THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",3,3.0,2414243.24
68,Conut Jnah,Person_0196,"['CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY PISTACHIO', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'CONUT PISTACHIO', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'HOT CHOCOLATE COMBO', 'HOT CHOCOLATE COMBO', 'HOT CHOCOLATE COMBO', 'OREO MILKSHAKE', 'TIRAMISU CHIMNEY', 'TIRAMISU CHIMNEY']",9,16.0,15156891.870000001
69,Conut Jnah,Person_0197,"['DELIVERY CHARGE', 'MINI BERRY MIX', 'MINI TRIPLE CHOCOLATE']",3,3.0,1281945.94
70,Conut Jnah,Person_0198,"['CARAMEL FRAPPE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE']",3,3.0,2026216.1999999997
71,Conut Jnah,Person_0199,"['CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'MINI TRIPLE CHOCOLATE']",4,4.0,3337297.2800000003
72,Conut Jnah,Person_0200,"['CARAMEL FRAPPE', 'CARAMEL FRAPPE', 'CHIMNEY BERRY MIX', 'CHIMNEY THE ONE', 'DELIVERY CHARGE']",4,5.0,3814054.02
73,Conut Jnah,Person_0201,"['CONUT COMBO', 'CONUT COMBO', 'DELIVERY CHARGE']",2,3.0,5721081.06
74,Conut Jnah,Person_0202,['DELIVERY CHARGE'],1,1.0,238378.38
75,Conut Jnah,Person_0203,"['CHIMNEY THE ONE', 'CHIMNEY THE ORIGINAL', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",4,5.0,5303918.91
76,Conut Jnah,Person_0204,"['CHIMNEY THE ONE', 'DELIVERY CHARGE', 'LOTUS SPREAD CHIMNEY']",3,3.0,1668648.64
77,Conut Jnah,Person_0205,"['CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,2.0,1489864.8599999999
78,Conut Jnah,Person_0206,"['CHIMNEY PISTACHIO', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CONUT THE ONE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'THE SHARING BOX.']",6,8.0,8283648.65
79,Conut Jnah,Person_0207,"['CONUT THE ONE', 'CONUT THE ONE', 'DELIVERY CHARGE']",2,3.0,2026216.2200000002
80,Conut Jnah,Person_0208,"['CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'STRAWBERRY.']",3,3.0,1013108.11
81,Conut Jnah,Person_0209,"['CHIMNEY THE ONE', 'CONUT BOSTON CHEESECAKE', 'CONUT PISTACHIO', 'DELIVERY CHARGE']",4,4.0,3427351.35
82,Conut Jnah,Person_0210,"['CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,2.0,1489864.8599999999
83,Conut Jnah,Person_0211,"['CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",2,3.0,1430270.2799999998
84,Conut Jnah,Person_0212,"['CONUT BITES', 'DELIVERY CHARGE', 'PISTACHIO DIP.(P)', 'THE SHARING BOX.']",4,4.0,2681756.7800000003
85,Conut Jnah,Person_0213,"['CHIMNEY BERRY MIX', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'MINI BERRY MIX', 'NUTELLA SAUCE.']",5,7.0,4917216.2
86,Conut Jnah,Person_0214,"['DELIVERY CHARGE', 'THE SHARING BOX.']",2,2.0,1907027.04
87,Conut Jnah,Person_0215,"['CARAMEL MACHIATO', 'CHIMNEY BERRY MIX', 'CONUT BITES', 'CONUT BITES', 'DELIVERY CHARGE']",4,5.0,3337297.3
88,Conut Jnah,Person_0216,"['CONUT BERRY MIX', 'DELIVERY CHARGE']",2,2.0,1132297.3
89,Conut Jnah,Person_0217,"['CHIMNEY THE ONE', 'CHIMNEY THE ORIGINAL', 'DELIVERY CHARGE']",3,3.0,2681756.75
90,Conut Jnah,Person_0218,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'NUTELLA SPREAD CHIMNEY']",4,6.0,4767567.55
91,Conut Jnah,Person_0219,"['AFFOGATO', 'BLUEBERRIES.', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'MINI THE ONE']",6,6.0,3367756.75
92,Conut Jnah,Person_0220,"['CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'WHITE CHOCOLATE SPREAD CHIMNEY']",3,3.0,1013108.11
93,Conut Jnah,Person_0221,"['CHIMNEY BERRY MIX', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'MINI BERRY MIX', 'MINI BOSTON CHEESECAKE']",4,5.0,2771810.8
94,Conut Jnah,Person_0222,"['CONUT THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",3,3.0,2056675.6800000002
95,Conut Jnah,Person_0223,"['CONUT THE ONE', 'CONUT THE ONE', 'DELIVERY CHARGE']",2,3.0,2026216.2200000002
96,Conut Jnah,Person_0224,"['CONUT THE ONE', 'DELIVERY CHARGE', 'RASPBERRY JAM , (P)', 'RASPBERRY JAM , (P)']",3,4.0,1173738.74
97,Conut Jnah,Person_0225,"['CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CONUT BOSTON CHEESECAKE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'TIRAMISU CONUT']",6,7.0,6228297.3
98,Conut Jnah,Person_0226,"['ADD ICE CREAM', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'NUTELLA SAUCE.']",4,4.0,2204999.99
99,Conut Jnah,Person_0227,"['ADD ICE CREAM', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",3,3.0,2026216.21
100,Conut Jnah,Person_0228,"['CHIMNEY THE ONE', 'CONUT PISTACHIO', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",4,4.0,3427351.35
101,Conut Jnah,Person_0229,"['CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",2,3.0,1430270.2799999998
102,Conut Jnah,Person_0230,"['ADD ICE CREAM', 'CHERRY JAM DIP.(P)', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CONUT BERRY MIX', 'CONUT BITES', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'MINI BOSTON CHEESECAKE', 'STRAWBERRY MILKSHAKE', 'STRAWBERRY MILKSHAKE']",8,11.0,7091756.75
103,Conut Jnah,Person_0231,"['CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",2,2.0,1549459.46
104,Conut Jnah,Person_0232,"['CHIMNEY COMBO.', 'DELIVERY CHARGE']",2,2.0,4171621.63
105,Conut Jnah,Person_0233,"['CAFFE LATTE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE']",3,3.0,1907027.02
106,Conut Jnah,Person_0234,"['DELIVERY CHARGE', 'THE SHARING BOX.']",2,2.0,1907027.04
107,Conut Jnah,Person_0235,"['DELIVERY CHARGE', 'THE SHARING BOX.']",2,2.0,1907027.04
108,Main Street Coffee,Person_0236,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CONUT BERRY MIX', 'CONUT THE ORIGINAL', 'MINI THE ORIGINAL', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO']",6,9.0,6764648.640000001
109,Main Street Coffee,Person_0237,"['CONUT BOSTON CHEESECAKE', 'CONUT THE ONE', 'DARK CHOCOLATE CHIPS, (P)', 'DELIVERY CHARGE']",4,4.0,2077396.4000000001
111,Main Street Coffee,Person_0239,"['ADD ICE CREAM', 'CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'CONUT PISTACHIO', 'ICE CREAM BOWL', 'ICE CREAM BOWL', 'WHIPPED CREAM . (P)', 'WHIPPED CREAM . (P)']",7,14.0,12992945.92
112,Main Street Coffee,Person_0240,"['ADD ICE CREAM', 'ADD ICE CREAM', 'ADD ICE CREAM', 'ICE CREAM BOWL', 'ICE CREAM BOWL', 'ICE CREAM BOWL', 'ICE CREAM BOWL', 'ICE CREAM BOWL', 'ICE CREAM BOWL', 'NUTELLA DIP (R)', 'NUTELLA DIP (R)', 'NUTELLA DIP (R)', 'WATER']",4,15.0,5601891.899999999
113,Main Street Coffee,Person_0241,"['DOUBLE CHOCOLATE MILKSHAKE', 'HOT CHOCOLATE', 'HOT CHOCOLATE', 'VANILLA MILKSHAKE']",3,4.0,2264594.57
114,Main Street Coffee,Person_0242,"['CAFFE AMERICANO', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CONUT THE ONE', 'NUTELLA SAUCE.', 'NUTELLA SAUCE.', 'WATER', 'WATER', 'WATER']",5,10.0,5572756.7
115,Main Street Coffee,Person_0243,"['ADD ICE CREAM', 'CHIMNEY THE ONE', 'CHIMNEY THE ORIGINAL', 'CLASSIC CHIMNEY', 'CONUT BERRY MIX', 'CONUT THE ONE', 'MINI THE ORIGINAL', 'STRAWBERRIES (R)']",8,8.0,5870729.71
116,Main Street Coffee,Person_0244,['CHIMNEY THE ONE'],1,1.0,1251486.48
117,Main Street Coffee,Person_0245,"['DOUBLE ESPRESSO', 'ICE CREAM BOWL', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'WATER', 'WATER', 'WATER', 'WATER', 'WATER', 'WATER', 'WATER', 'WATER']",4,20.0,3943837.78
118,Main Street Coffee,Person_0246,"['CHIMNEY BERRY MIX', 'DELIVERY CHARGE']",2,2.0,1489864.8599999999
119,Main Street Coffee,Person_0133,"['CHIMNEY BERRY MIX', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",5,7.0,6495810.8
120,Main Street Coffee,Person_0247,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,3.0,2741351.34
121,Main Street Coffee,Person_0248,"['CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'MINI TRIPLE CHOCOLATE']",3,3.0,1699108.1
122,Main Street Coffee,Person_0249,"['CHIMNEY THE ONE', 'DELIVERY CHARGE']",2,2.0,1489864.8599999999
